Age,Edad,Genero,Lugar de grabacion,Grabacion_order,Grabacion_date,Orden,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
8.2,8,F,CCNN (Bahuanisho),11,02/08/2017,2,L,L,R,R,L,R,R,R,L,L
7,7,M,CCNN (Bahuanisho),12,02/08/2017,2,L,L,R,R,R,L,R,R,R,R
9.7,9,F,CCNN (Bahuanisho),7,02/08/2017,2,L,L,R,R,L,L,R,R,R,L
7.5,7,M,CCNN (Bahuanisho),8,02/08/2017,2,L,L,R,R,L,L,R,L,L,L
6,6,F,CCNN (Bahuanisho),9,02/08/2017,2,L,L,R,R,R,L,R,R,R,R
6.9,6,M,CCNN (Bahuanisho),4,02/08/2017,1,R,L,R,L,R,L,R,L,L,R
9,8,F,CCNN (Bahuanisho),5,02/08/2017,1,R,L,R,L,R,L,R,L,R,R
5.4,5,F,CCNN (Bahuanisho),6,02/08/2017,1,R,L,R,L,L,L,L,L,L,L
7.9,8,F,CCNN (Bahuanisho),1,02/08/2017,1,R,L,R,L,R,L,R,L,L,R
8,8,F,CCNN (Bahuanisho),2,02/08/2017,1,R,L,R,L,R,R,R,L,L,R
7,6,M,CCNN (Bahuanisho),3,02/08/2017,1,R,L,R,L,R,L,L,L,R,R
